Field Label,SQL_Column_Name
id,id
Patient ID,patient_id
First Name,first_name
Last name,last_name
Date of Birth,date_of_birth
Email address,email_address
Encounter date,encounter_date
Encounter type,encounter_type
Encounter background info diagnosis,encounter_background_info_diagnosis
DOI,doi
MOI,moi
Previous treatment,previous_treatment
Previous surgery,previous_surgery
Comorbidities,comorbidities
Allergies,allergies
Handedness,handedness
Occupation,occupation
Sports hobbies,sports_hobbies
Affected side,affected_side
Selected locations to record data about,selected_locations_to_record_data_about
First visit,first_visit
Follow up non op,follow_up_non_op
Operation note,operation_note
Post op,post_op
Pronoun,pronoun
Text to include,text_to_include
Scapulothoracic articulation diagnosis,scapulothoracic_articulation_diagnosis
ScT motion STAM type,sct_motion_stam_type
ScT bursa bursitis impingement,sct_bursa_bursitis_impingement
ScT stability dissociation,sct_stability_dissociation
ScT articulation other,sct_articulation_other
Sternum diagnosis,sternum_diagnosis
Sternum fracture sequelae deformity subtypes,sternum_fracture_sequelae_deformity_subtypes
Sternum fracture classification AO,sternum_fracture_classification_ao
Sternum deformity,sternum_deformity
Sternum tumour pathology,sternum_tumour_pathology
Sternum infection chronicity,sternum_infection_chronicity
Sternum infection aetiology,sternum_infection_aetiology
Sternum infection organsim,sternum_infection_organsim
Sternum bone loss extraarticular,sternum_bone_loss_extraarticular
Sternum sequelae non-arthroplasty implants,sternum_sequelae_non_arthroplasty_implants
Sternum other,sternum_other
Manubriosternal joint diagnosis,manubriosternal_joint_diagnosis
MSJ stability instability,msj_stability_instability
Manubriosternal Instability type - direction,manubriosternal_instability_type_direction
Manubriosternal Instability pathology,manubriosternal_instability_pathology
Manubriosternal attritional bone loss - proximal % bone loss,manubriosternal_attritional_bone_loss_proximal_bone_loss
Manubriosternal attritional bone loss - distal % bone loss,manubriosternal_attritional_bone_loss_distal_bone_loss
Manubriosternal arthropathy type,manubriosternal_arthropathy_type
MSJ arthropathy bone pathology manubrium,msj_arthropathy_bone_pathology_manubrium
MSJ arthropathy bone pathology sternum,msj_arthropathy_bone_pathology_sternum
MSJ septic arthritis chronicity,msj_septic_arthritis_chronicity
MSJ septic arthritis pathogenesis,msj_septic_arthritis_pathogenesis
MSJ septic arthritis organism,msj_septic_arthritis_organism
MSJ sequelae non arthroplasty implants,msj_sequelae_non_arthroplasty_implants
MSJ other,msj_other
Sternoclavicular joint diagnosis,sternoclavicular_joint_diagnosis
SCJ stability instability,scj_stability_instability
SCJ instability direction,scj_instability_direction
SCJ instability pathology,scj_instability_pathology
SCJ instability attritional bone loss proximal,scj_instability_attritional_bone_loss_proximal
SCJ instability attritional bone loss distal,scj_instability_attritional_bone_loss_distal
Sternoclavicular Arthropathy type ,sternoclavicular_arthropathy_type
Bone pathology - sternum,bone_pathology_sternum
Bone pathology - clavicle,bone_pathology_clavicle
SCJ septic arthritis chronicity,scj_septic_arthritis_chronicity
SCJ septic arthritis aetiology,scj_septic_arthritis_aetiology
SCJ septic arthritis organism,scj_septic_arthritis_organism
SCJ sequelae non arthroplasty implants,scj_sequelae_non_arthroplasty_implants
SCJ other,scj_other
Scapula Diagnosis,scapula_diagnosis
Acromial morphology Bigliani,acromial_morphology_bigliani
Acromial morphology other,acromial_morphology_other
Os acromiale,os_acromiale
Critical shoulder angle,critical_shoulder_angle
Glenoid version,glenoid_version
Glenoid inclination,glenoid_inclination
Scapula spine morphology,scapula_spine_morphology
Coracoid morphology,coracoid_morphology
Scapula body morphology,scapula_body_morphology
Scapula neck morphology,scapula_neck_morphology
