Original_Field_ID,Category,Section,Table_Name,SQL_Column_Name,SQL_Data_Type,Field_Type,Label
record_id,general,,demographics_part_1,dem_record_id,VARCHAR(500),text,Record ID
mrn,general,,demographics_part_1,dem_mrn,TEXT,textarea,Patient Hospital/Clinic Numbers
sex,general,,demographics_part_1,dem_sex,VARCHAR(50),radio,Sex
email_2,general,,demographics_part_1,dem_email_2,VARCHAR(255),email,Backup Email
mobile,general,,demographics_part_1,dem_mobile,VARCHAR(500),text,Mobile
body_region,general,,demographics_part_1,dem_body_region,JSONB,checkbox,Body Region
insurance_type,general,,demographics_part_1,dem_insurance_type,VARCHAR(50),radio,Insurance Type
date,general,,demographics_part_1,dem_date,DATE,date,Today's Date
lastname,general,,demographics_part_1,dem_lastname,VARCHAR(500),text,Surname
givenname,general,,demographics_part_1,dem_givenname,VARCHAR(500),text,First Name
dateofbirth,general,,demographics_part_1,dem_dateofbirth,DATE,date,Date of Birth
email_pt,general,,demographics_part_1,dem_email_pt,VARCHAR(255),email,Email
mobile_pt,general,,demographics_part_1,dem_mobile_pt,VARCHAR(500),text,Mobile Number
mainsport,general,,demographics_part_1,dem_mainsport,VARCHAR(500),text,Main Sport
mainsportgrade,general,,demographics_part_1,dem_mainsportgrade,VARCHAR(50),radio,Main Sport Grade
pain_vas,general,,demographics_part_1,dem_pain_vas,INTEGER,slider,How much pain in your shoulder do you have during your usual daily activities?
pain_rowe,general,,demographics_part_1,dem_pain_rowe,DECIMAL,calculated,Pain (Rowe)
csmasss_sleep_q,general,,demographics_part_1,dem_csmasss_sleep_q,VARCHAR(50),radio,Is your night's sleep disturbed by your shoulder?
p_ases_sleep,general,,demographics_part_1,dem_p_ases_sleep,VARCHAR(50),radio,Can you sleep on your affected shoulder comfortably
p_ases_bra,general,,demographics_part_1,dem_p_ases_bra,VARCHAR(50),radio,Can you wash your back / fasten your bra?
p_ases_coat,general,,demographics_part_1,dem_p_ases_coat,VARCHAR(50),radio,Can you put on your coat unassisted?
p_ases_comb,general,,demographics_part_1,dem_p_ases_comb,VARCHAR(50),radio,Can you comb / wash your hair?
p_ases_toilet,general,,demographics_part_1,dem_p_ases_toilet,VARCHAR(50),radio,Can you use toilet tissue?
p_ases_shelf,general,,demographics_part_1,dem_p_ases_shelf,VARCHAR(50),radio,Can you reach a shelf over your head?
p_ases_4kg,general,,demographics_part_1,dem_p_ases_4kg,VARCHAR(50),radio,Can you lift 4 kilograms above the level of your shoulder?
p_ases_throw,general,,demographics_part_1,dem_p_ases_throw,VARCHAR(50),radio,Can you throw a ball overhand?
full_work,general,,demographics_part_1,dem_full_work,VARCHAR(50),radio,Does your shoulder allow you to work full time at your usual job (if not working - your usual activi
rtw,general,,demographics_part_1,dem_rtw,VARCHAR(50),radio,What work are you currently able to do (if not working-your usual activities)?
full_work_csmasss,general,,demographics_part_1,dem_full_work_csmasss,DECIMAL,calculated,Full Work CS/MASSS
usual_sports,general,,demographics_part_1,dem_usual_sports,VARCHAR(50),radio,Does your shoulder allow you to do your usual sports?
usual_sports_csmasss,general,,demographics_part_1,dem_usual_sports_csmasss,DECIMAL,calculated,Usual Sports CS/MASSS
rts,general,,demographics_part_1,dem_rts,VARCHAR(50),radio,Are you able to do your usual sports/activities?
csmasss_comfortable_use,general,,demographics_part_1,dem_csmasss_comfortable_use,VARCHAR(50),radio,What level can you use your arm for painless activities?
rowe_subjective_instability,general,,demographics_part_1,dem_rowe_subjective_instability,VARCHAR(50),radio,Have you had a shoulder dislocation or do you feel apprehensive / fearful of a shoulder dislocation?
abd_pic,general,,demographics_part_1,dem_abd_pic,TEXT,display,Abduction
p_abd,general,,demographics_part_1,dem_p_abd,DECIMAL,slider,Give the range of motion of ABDUCTION (raising your arm to the side) of your affected/operated shoul
abd_rowe,general,,demographics_part_1,dem_abd_rowe,DECIMAL,calculated,Abduction (Rowe)
er_pic,general,,demographics_part_1,dem_er_pic,TEXT,display,(A) External rotation in Abduction and (B) External rotation in Adduction
p_aber,general,,demographics_part_1,dem_p_aber,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ABDUCTION (With your arm out to the side bringing y
p_ader,general,,demographics_part_1,dem_p_ader,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ADDUCTION (With your elbow in against your body tur
ader_rowe,general,,demographics_part_1,dem_ader_rowe,DECIMAL,calculated,ADER (Rowe)
ir_pic,general,,demographics_part_1,dem_ir_pic,TEXT,display,Internal Rotation
p_ir,general,,demographics_part_1,dem_p_ir,DECIMAL,slider,Give the range of motion of INTERNAL ROTATION (reaching up your back as far as possible) of your aff
ir_rowe,general,,demographics_part_1,dem_ir_rowe,DECIMAL,calculated,IR (Rowe)
rom_vas,general,,demographics_part_1,dem_rom_vas,DECIMAL,slider,Give the overall range of motion of your affected/operated shoulder a mark out of 100 (100 being nor
csmasss_strength,general,,demographics_part_1,dem_csmasss_strength,DECIMAL,slider,Give the overall strength of your affected/operated shoulder a mark out of 100 (100 being normal)
sane_stability,general,,demographics_part_1,dem_sane_stability,DECIMAL,slider,Give the overall stability of your affected/operated shoulder a mark out of 100 (100 being normal)
